Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-07-11,14:30:00,Allianz_SE,346.6000061035156
2025-07-11,15:00:00,Allianz_SE,346.6000061035156
2025-07-11,15:30:00,Allianz_SE,346.29998779296875
2025-07-11,16:00:00,Allianz_SE,345.6000061035156
2025-07-11,16:30:00,Allianz_SE,346.29998779296875
2025-07-11,17:00:00,Allianz_SE,346.0
2025-07-14,09:00:00,Allianz_SE,343.0
2025-07-14,09:30:00,Allianz_SE,344.20001220703125
2025-07-14,10:00:00,Allianz_SE,343.79998779296875
2025-07-14,10:30:00,Allianz_SE,344.79998779296875
2025-07-14,11:00:00,Allianz_SE,344.1000061035156
2025-07-14,11:30:00,Allianz_SE,344.1000061035156
2025-07-14,12:00:00,Allianz_SE,343.70001220703125
2025-07-14,12:30:00,Allianz_SE,343.70001220703125
2025-07-14,13:00:00,Allianz_SE,342.79998779296875
2025-07-14,13:30:00,Allianz_SE,343.0
2025-07-14,14:00:00,Allianz_SE,343.70001220703125
2025-07-14,14:30:00,Allianz_SE,343.1000061035156
2025-07-14,15:00:00,Allianz_SE,343.20001220703125
2025-07-14,15:30:00,Allianz_SE,343.8999938964844
2025-07-14,16:00:00,Allianz_SE,344.20001220703125
2025-07-14,16:30:00,Allianz_SE,344.70001220703125
2025-07-14,17:00:00,Allianz_SE,345.79998779296875
2025-07-15,09:00:00,Allianz_SE,342.79998779296875
2025-07-15,09:30:00,Allianz_SE,344.3999938964844
2025-07-15,10:00:00,Allianz_SE,344.20001220703125
2025-07-15,10:30:00,Allianz_SE,344.3999938964844
2025-07-15,11:00:00,Allianz_SE,343.29998779296875
2025-07-15,11:30:00,Allianz_SE,343.8999938964844
2025-07-15,12:00:00,Allianz_SE,342.79998779296875
2025-07-15,12:30:00,Allianz_SE,343.20001220703125
2025-07-15,13:00:00,Allianz_SE,342.70001220703125
2025-07-15,13:30:00,Allianz_SE,342.20001220703125
2025-07-15,14:00:00,Allianz_SE,342.79998779296875
2025-07-15,14:30:00,Allianz_SE,342.29998779296875
2025-07-15,15:00:00,Allianz_SE,342.5
2025-07-15,15:30:00,Allianz_SE,341.3999938964844
2025-07-15,16:00:00,Allianz_SE,341.8999938964844
2025-07-15,16:30:00,Allianz_SE,340.79998779296875
2025-07-15,17:00:00,Allianz_SE,340.5
2025-07-16,09:00:00,Allianz_SE,341.70001220703125
2025-07-16,09:30:00,Allianz_SE,342.20001220703125
2025-07-16,10:00:00,Allianz_SE,343.0
2025-07-16,10:30:00,Allianz_SE,342.6000061035156
2025-07-16,11:00:00,Allianz_SE,343.1000061035156
2025-07-16,11:30:00,Allianz_SE,342.8999938964844
2025-07-16,12:00:00,Allianz_SE,342.8999938964844
2025-07-16,12:30:00,Allianz_SE,342.29998779296875
2025-07-16,13:00:00,Allianz_SE,342.3999938964844
2025-07-16,13:30:00,Allianz_SE,342.0
2025-07-16,14:00:00,Allianz_SE,342.5
2025-07-16,14:30:00,Allianz_SE,342.70001220703125
2025-07-16,15:00:00,Allianz_SE,342.8999938964844
2025-07-16,15:30:00,Allianz_SE,343.70001220703125
2025-07-16,16:00:00,Allianz_SE,343.1000061035156
2025-07-16,16:30:00,Allianz_SE,342.70001220703125
2025-07-16,17:00:00,Allianz_SE,342.5
2025-07-18,09:00:00,Allianz_SE,347.20001220703125
2025-07-18,09:30:00,Allianz_SE,346.8999938964844
2025-07-18,10:00:00,Allianz_SE,347.0
2025-07-18,10:30:00,Allianz_SE,346.5
2025-07-18,11:00:00,Allianz_SE,347.6000061035156
2025-07-18,11:30:00,Allianz_SE,346.8999938964844
2025-07-18,12:00:00,Allianz_SE,345.8999938964844
2025-07-18,12:30:00,Allianz_SE,345.20001220703125
2025-07-18,13:00:00,Allianz_SE,345.0
2025-07-18,13:30:00,Allianz_SE,345.5
2025-07-18,14:00:00,Allianz_SE,345.6000061035156
2025-07-18,14:30:00,Allianz_SE,345.3999938964844
2025-07-18,15:00:00,Allianz_SE,345.70001220703125
2025-07-18,15:30:00,Allianz_SE,345.3999938964844
2025-07-18,16:00:00,Allianz_SE,345.79998779296875
2025-07-18,16:30:00,Allianz_SE,345.20001220703125
2025-07-18,17:00:00,Allianz_SE,345.70001220703125
2025-07-21,09:00:00,Allianz_SE,343.5
2025-07-21,09:30:00,Allianz_SE,342.79998779296875
2025-07-21,10:00:00,Allianz_SE,342.6000061035156
2025-07-21,10:30:00,Allianz_SE,342.70001220703125
2025-07-21,11:00:00,Allianz_SE,342.8999938964844
2025-07-21,11:30:00,Allianz_SE,342.70001220703125
2025-07-21,12:00:00,Allianz_SE,342.20001220703125
2025-07-21,12:30:00,Allianz_SE,342.3999938964844
2025-07-21,13:00:00,Allianz_SE,342.70001220703125
2025-07-21,13:30:00,Allianz_SE,342.70001220703125
2025-07-21,14:00:00,Allianz_SE,342.1000061035156
2025-07-21,14:30:00,Allianz_SE,342.0
2025-07-21,15:00:00,Allianz_SE,342.79998779296875
